andaria,verb,INDF,singular,terceira
andamos,verb,INDF,plural,primeira
andais,verb,INDF,plural,segunda
andáveis,verb,INDF,plural,segunda
andastes,verb,INDF,plural,segunda
andáreis,verb,INDF,plural,segunda
andareis,verb,INDF,plural,segunda
andaríeis,verb,INDF,plural,segunda
andávamos,verb,INDF,plural,primeira
andáramos,verb,INDF,plural,primeira
andaremos,verb,INDF,plural,primeira
andaríamos,verb,INDF,plural,primeira
andam,verb,INDF,plural,terceira
andavam,verb,INDF,plural,terceira
andaram,verb,INDF,plural,terceira
andarão,verb,INDF,plural,terceira
andariam,verb,INDF,plural,terceira
brinco,verb,INDF,singular,primeira
brincas,verb,INDF,singular,segunda
brincavas,verb,INDF,singular,segunda
brincaste,verb,INDF,singular,segunda
brincaras,verb,INDF,singular,segunda
brincarás,verb,INDF,singular,segunda
brincarias,verb,INDF,singular,segunda
brincava,verb,INDF,singular,primeira
brincei,verb,INDF,singular,primeira
brincara,verb,INDF,singular,primeira
brincarei,verb,INDF,singular,primeira
brincaria,verb,INDF,singular,primeira
brinca,verb,INDF,singular,terceira
brincava,verb,INDF,singular,terceira
brincou,verb,INDF,singular,terceira
brincara,verb,INDF,singular,terceira
brincará,verb,INDF,singular,terceira
brincaria,verb,INDF,singular,terceira
brincamos,verb,INDF,plural,primeira
brincais,verb,INDF,plural,segunda
brincáveis,verb,INDF,plural,segunda
brincastes,verb,INDF,plural,segunda
brincáreis,verb,INDF,plural,segunda
brincareis,verb,INDF,plural,segunda
brincaríeis,verb,INDF,plural,segunda
brincávamos,verb,INDF,plural,primeira
brincáramos,verb,INDF,plural,primeira
brincaremos,verb,INDF,plural,primeira
brincaríamos,verb,INDF,plural,primeira
brincam,verb,INDF,plural,terceira
brincavam,verb,INDF,plural,terceira
brincaram,verb,INDF,plural,terceira
brincarão,verb,INDF,plural,terceira
brincariam,verb,INDF,plural,terceira
gosto,verb,INDF,singular,primeira
gostas,verb,INDF,singular,segunda
gostavas,verb,INDF,singular,segunda
gostaste,verb,INDF,singular,segunda
gostaras,verb,INDF,singular,segunda
gostarás,verb,INDF,singular,segunda
gostarias,verb,INDF,singular,segunda
gostava,verb,INDF,singular,primeira
gostei,verb,INDF,singular,primeira
gostara,verb,INDF,singular,primeira
gostarei,verb,INDF,singular,primeira
gostaria,verb,INDF,singular,primeira
gosta,verb,INDF,singular,terceira
gostava,verb,INDF,singular,terceira
gostou,verb,INDF,singular,terceira
gostara,verb,INDF,singular,terceira
gostará,verb,INDF,singular,terceira
gostaria,verb,INDF,singular,terceira
gostamos,verb,INDF,plural,primeira
gostais,verb,INDF,plural,segunda
gostáveis,verb,INDF,plural,segunda
gostastes,verb,INDF,plural,segunda
gostáreis,verb,INDF,plural,segunda
gostareis,verb,INDF,plural,segunda
gostaríeis,verb,INDF,plural,segunda
gostávamos,verb,INDF,plural,primeira
gostáramos,verb,INDF,plural,primeira
gostaremos,verb,INDF,plural,primeira
gostaríamos,verb,INDF,plural,primeira
gostam,verb,INDF,plural,terceira
gostavam,verb,INDF,plural,terceira
gostaram,verb,INDF,plural,terceira
gostarão,verb,INDF,plural,terceira
gostariam,verb,INDF,plural,terceira
chego,verb,INDF,singular,primeira
chegas,verb,INDF,singular,segunda
chegavas,verb,INDF,singular,segunda
chegaste,verb,INDF,singular,segunda
chegaras,verb,INDF,singular,segunda
chegarás,verb,INDF,singular,segunda
chegarias,verb,INDF,singular,segunda
chegava,verb,INDF,singular,primeira
chegei,verb,INDF,singular,primeira
chegara,verb,INDF,singular,primeira
chegarei,verb,INDF,singular,primeira
chegaria,verb,INDF,singular,primeira
chega,verb,INDF,singular,terceira
chegava,verb,INDF,singular,terceira
chegou,verb,INDF,singular,terceira
chegara,verb,INDF,singular,terceira
chegará,verb,INDF,singular,terceira
chegaria,verb,INDF,singular,terceira
chegamos,verb,INDF,plural,primeira
chegais,verb,INDF,plural,segunda
chegáveis,verb,INDF,plural,segunda
chegastes,verb,INDF,plural,segunda
chegáreis,verb,INDF,plural,segunda
chegareis,verb,INDF,plural,segunda
chegaríeis,verb,INDF,plural,segunda
chegávamos,verb,INDF,plural,primeira
chegáramos,verb,INDF,plural,primeira
chegaremos,verb,INDF,plural,primeira
chegaríamos,verb,INDF,plural,primeira
chegam,verb,INDF,plural,terceira
chegavam,verb,INDF,plural,terceira
chegaram,verb,INDF,plural,terceira
chegarão,verb,INDF,plural,terceira
chegariam,verb,INDF,plural,terceira
jogo,verb,INDF,singular,primeira
jogas,verb,INDF,singular,segunda
jogavas,verb,INDF,singular,segunda
jogaste,verb,INDF,singular,segunda
jogaras,verb,INDF,singular,segunda
jogarás,verb,INDF,singular,segunda
jogarias,verb,INDF,singular,segunda
jogava,verb,INDF,singular,primeira
jogei,verb,INDF,singular,primeira
jogara,verb,INDF,singular,primeira
jogarei,verb,INDF,singular,primeira
jogaria,verb,INDF,singular,primeira
joga,verb,INDF,singular,terceira
jogava,verb,INDF,singular,terceira
jogou,verb,INDF,singular,terceira
jogara,verb,INDF,singular,terceira
jogará,verb,INDF,singular,terceira
jogaria,verb,INDF,singular,terceira
jogamos,verb,INDF,plural,primeira
jogais,verb,INDF,plural,segunda
jogáveis,verb,INDF,plural,segunda
jogastes,verb,INDF,plural,segunda
jogáreis,verb,INDF,plural,segunda
jogareis,verb,INDF,plural,segunda
jogaríeis,verb,INDF,plural,segunda
jogávamos,verb,INDF,plural,primeira
jogáramos,verb,INDF,plural,primeira
jogaremos,verb,INDF,plural,primeira
jogaríamos,verb,INDF,plural,primeira
jogam,verb,INDF,plural,terceira
jogavam,verb,INDF,plural,terceira
jogaram,verb,INDF,plural,terceira
jogarão,verb,INDF,plural,terceira
jogariam,verb,INDF,plural,terceira
fico,verb,INDF,singular,primeira
ficas,verb,INDF,singular,segunda
ficavas,verb,INDF,singular,segunda
ficaste,verb,INDF,singular,segunda
ficaras,verb,INDF,singular,segunda
ficarás,verb,INDF,singular,segunda
ficarias,verb,INDF,singular,segunda
ficava,verb,INDF,singular,primeira
ficei,verb,INDF,singular,primeira
ficara,verb,INDF,singular,primeira
ficarei,verb,INDF,singular,primeira
ficaria,verb,INDF,singular,primeira
fica,verb,INDF,singular,terceira
ficava,verb,INDF,singular,terceira
ficou,verb,INDF,singular,terceira
ficara,verb,INDF,singular,terceira
ficará,verb,INDF,singular,terceira
ficaria,verb,INDF,singular,terceira
ficamos,verb,INDF,plural,primeira
ficais,verb,INDF,plural,segunda
ficáveis,verb,INDF,plural,segunda
ficastes,verb,INDF,plural,segunda
ficáreis,verb,INDF,plural,segunda
ficareis,verb,INDF,plural,segunda
ficaríeis,verb,INDF,plural,segunda
ficávamos,verb,INDF,plural,primeira
ficáramos,verb,INDF,plural,primeira
ficaremos,verb,INDF,plural,primeira
ficaríamos,verb,INDF,plural,primeira
ficam,verb,INDF,plural,terceira
ficavam,verb,INDF,plural,terceira
ficaram,verb,INDF,plural,terceira
ficarão,verb,INDF,plural,terceira
ficariam,verb,INDF,plural,terceira
danço,verb,INDF,singular,primeira
danças,verb,INDF,singular,segunda
dançavas,verb,INDF,singular,segunda
dançaste,verb,INDF,singular,segunda
dançaras,verb,INDF,singular,segunda
dançarás,verb,INDF,singular,segunda
dançarias,verb,INDF,singular,segunda
dançava,verb,INDF,singular,primeira
dançei,verb,INDF,singular,primeira
dançara,verb,INDF,singular,primeira
dançarei,verb,INDF,singular,primeira
dançaria,verb,INDF,singular,primeira
dança,verb,INDF,singular,terceira
dançava,verb,INDF,singular,terceira
dançou,verb,INDF,singular,terceira
dançara,verb,INDF,singular,terceira
dançará,verb,INDF,singular,terceira
dançaria,verb,INDF,singular,terceira
dançamos,verb,INDF,plural,primeira
dançais,verb,INDF,plural,segunda
dançáveis,verb,INDF,plural,segunda
dançastes,verb,INDF,plural,segunda
dançáreis,verb,INDF,plural,segunda
dançareis,verb,INDF,plural,segunda
dançaríeis,verb,INDF,plural,segunda
dançávamos,verb,INDF,plural,primeira
dançáramos,verb,INDF,plural,primeira
dançaremos,verb,INDF,plural,primeira
dançaríamos,verb,INDF,plural,primeira
dançam,verb,INDF,plural,terceira
dançavam,verb,INDF,plural,terceira
dançaram,verb,INDF,plural,terceira
dançarão,verb,INDF,plural,terceira
dançariam,verb,INDF,plural,terceira
penso,verb,INDF,singular,primeira
pensas,verb,INDF,singular,segunda
pensavas,verb,INDF,singular,segunda
