andaste,INDF,singular,segunda
andasse,INDF,singular,primeira
andas,INDF,singular,segunda
andavas,INDF,singular,segunda
andaste,INDF,singular,segunda
andar,INDF,singular,primeira
andas,INDF,singular,segunda
andavas,INDF,singular,segunda
andaste,INDF,singular,segunda
anda,INDF,singular,terceira
andamos,INDF,plural,primeira
andais,INDF,plural,segunda
andam,INDF,plural,terceira
brinco,INDF,singular,primeira
brincas,INDF,singular,segunda
brincavas,INDF,singular,segunda
brincaste,INDF,singular,segunda
brincava,INDF,singular,primeira
brincas,INDF,singular,segunda
brincavas,INDF,singular,segunda
brincaste,INDF,singular,segunda
brincei,INDF,singular,primeira
brincas,INDF,singular,segunda
brincavas,INDF,singular,segunda
brincaste,INDF,singular,segunda
brincara,INDF,singular,primeira
brincas,INDF,singular,segunda
brincavas,INDF,singular,segunda
brincaste,INDF,singular,segunda
brincarei,INDF,singular,primeira
brincas,INDF,singular,segunda
brincavas,INDF,singular,segunda
brincaste,INDF,singular,segunda
brincaria,INDF,singular,primeira
brincas,INDF,singular,segunda
brincavas,INDF,singular,segunda
brincaste,INDF,singular,segunda
brince,INDF,singular,primeira
brincas,INDF,singular,segunda
brincavas,INDF,singular,segunda
brincaste,INDF,singular,segunda
brincasse,INDF,singular,primeira
brincas,INDF,singular,segunda
brincavas,INDF,singular,segunda
brincaste,INDF,singular,segunda
brincar,INDF,singular,primeira
brincas,INDF,singular,segunda
brincavas,INDF,singular,segunda
brincaste,INDF,singular,segunda
brinca,INDF,singular,terceira
brincamos,INDF,plural,primeira
brincais,INDF,plural,segunda
brincam,INDF,plural,terceira
gosto,INDF,singular,primeira
gostas,INDF,singular,segunda
gostavas,INDF,singular,segunda
gostaste,INDF,singular,segunda
gostava,INDF,singular,primeira
gostas,INDF,singular,segunda
gostavas,INDF,singular,segunda
gostaste,INDF,singular,segunda
gostei,INDF,singular,primeira
gostas,INDF,singular,segunda
gostavas,INDF,singular,segunda
gostaste,INDF,singular,segunda
gostara,INDF,singular,primeira
gostas,INDF,singular,segunda
gostavas,INDF,singular,segunda
gostaste,INDF,singular,segunda
gostarei,INDF,singular,primeira
gostas,INDF,singular,segunda
gostavas,INDF,singular,segunda
gostaste,INDF,singular,segunda
gostaria,INDF,singular,primeira
gostas,INDF,singular,segunda
gostavas,INDF,singular,segunda
gostaste,INDF,singular,segunda
goste,INDF,singular,primeira
gostas,INDF,singular,segunda
gostavas,INDF,singular,segunda
gostaste,INDF,singular,segunda
gostasse,INDF,singular,primeira
gostas,INDF,singular,segunda
gostavas,INDF,singular,segunda
gostaste,INDF,singular,segunda
gostar,INDF,singular,primeira
gostas,INDF,singular,segunda
gostavas,INDF,singular,segunda
gostaste,INDF,singular,segunda
gosta,INDF,singular,terceira
gostamos,INDF,plural,primeira
gostais,INDF,plural,segunda
gostam,INDF,plural,terceira
chego,INDF,singular,primeira
chegas,INDF,singular,segunda
chegavas,INDF,singular,segunda
chegaste,INDF,singular,segunda
chegava,INDF,singular,primeira
chegas,INDF,singular,segunda
chegavas,INDF,singular,segunda
chegaste,INDF,singular,segunda
chegei,INDF,singular,primeira
chegas,INDF,singular,segunda
chegavas,INDF,singular,segunda
chegaste,INDF,singular,segunda
chegara,INDF,singular,primeira
chegas,INDF,singular,segunda
chegavas,INDF,singular,segunda
chegaste,INDF,singular,segunda
chegarei,INDF,singular,primeira
chegas,INDF,singular,segunda
chegavas,INDF,singular,segunda
chegaste,INDF,singular,segunda
chegaria,INDF,singular,primeira
chegas,INDF,singular,segunda
chegavas,INDF,singular,segunda
chegaste,INDF,singular,segunda
chege,INDF,singular,primeira
chegas,INDF,singular,segunda
chegavas,INDF,singular,segunda
chegaste,INDF,singular,segunda
chegasse,INDF,singular,primeira
chegas,INDF,singular,segunda
chegavas,INDF,singular,segunda
chegaste,INDF,singular,segunda
chegar,INDF,singular,primeira
chegas,INDF,singular,segunda
